process_execution_id,order_id,start_time,end_time,part_id,process_type,process_id,resource_id,is_valid
177,310,2025-02-20 11:35:13,2025-02-20 11:35:53,1,0,1,1,1
178,301,2025-02-20 11:35:26,2025-02-20 11:35:35,4,1,13,4,1
179,301,2025-02-20 11:35:35,2025-02-20 11:36:05,1,0,14,5,1
180,310,2025-02-20 11:35:53,2025-02-20 11:36:13,4,0,10,3,1
181,301,2025-02-20 11:36:05,2025-02-20 11:37:26,1,0,15,5,1
182,310,2025-02-20 11:36:13,2025-02-20 11:36:56,5,0,11,3,1
183,310,2025-02-20 11:36:56,2025-02-20 11:37:52,2,0,2,1,1
184,301,2025-02-20 11:37:26,2025-02-20 11:37:43,6,0,16,5,1
185,301,2025-02-20 11:37:43,2025-02-20 11:38:08,7,1,17,6,1
186,310,2025-02-20 11:37:52,2025-02-20 11:39:13,1,0,15,5,1
187,301,2025-02-20 11:38:08,2025-02-20 11:38:42,8,1,18,6,1
188,310,2025-02-20 11:39:13,2025-02-20 11:39:18,4,1,20,6,1
189,310,2025-02-20 11:39:18,2025-02-20 11:39:35,6,0,16,5,1
190,301,2025-02-20 11:39:18,2025-02-20 11:40:20,3,1,19,6,1
191,310,2025-02-20 11:39:35,2025-02-20 11:40:18,5,0,11,3,1
192,310,2025-02-20 11:40:18,2025-02-20 11:40:26,-1,-1,21,7,1
193,301,2025-02-20 11:40:20,2025-02-20 11:40:25,4,1,20,6,1
194,310,2025-02-20 11:40:26,2025-02-20 11:40:43,6,0,16,5,1
195,301,2025-02-20 11:40:27,2025-02-20 11:40:35,-1,-1,21,7,1
196,301,2025-02-20 11:40:35,2025-02-20 11:40:45,-1,2,22,8,1
197,310,2025-02-20 11:40:43,2025-02-20 11:40:57,2,0,3,1,1
198,301,2025-02-20 11:40:45,2025-02-20 11:41:04,0,0,23,0,1
199,310,2025-02-20 11:40:57,2025-02-20 11:41:22,7,1,17,6,1
200,317,2025-02-20 11:41:04,2025-02-20 11:41:19,0,0,0,0,1
201,310,2025-02-20 11:41:22,2025-02-20 11:42:05,2,0,4,1,1
202,317,2025-02-20 11:42:05,2025-02-20 11:42:45,1,0,1,1,1
203,316,2025-02-20 11:42:05,2025-02-20 11:42:20,0,0,0,0,1
204,317,2025-02-20 11:42:45,2025-02-20 11:43:41,2,0,2,1,1
205,316,2025-02-20 11:43:41,2025-02-20 11:44:21,1,0,1,1,1
206,317,2025-02-20 11:44:22,2025-02-20 11:44:36,2,0,3,1,1
207,316,2025-02-20 11:44:36,2025-02-20 11:45:16,1,0,1,1,1
208,317,2025-02-20 11:45:17,2025-02-20 11:46:00,2,0,4,1,1
209,316,2025-02-20 11:46:00,2025-02-20 11:46:56,2,0,2,1,1
210,317,2025-02-20 11:46:56,2025-02-20 11:47:53,2,0,5,1,1
211,316,2025-02-20 11:47:53,2025-02-20 11:48:07,2,0,3,1,1
212,317,2025-02-20 11:48:07,2025-02-20 11:48:45,2,0,6,1,1
213,317,2025-02-20 11:48:45,2025-02-20 11:48:47,3,1,7,2,1
214,316,2025-02-20 11:48:46,2025-02-20 11:49:29,2,0,4,1,1
215,317,2025-02-20 11:48:47,2025-02-20 11:49:19,1,0,8,3,1
216,317,2025-02-20 11:49:19,2025-02-20 11:50:20,3,0,9,3,1
217,316,2025-02-20 11:49:29,2025-02-20 11:50:26,2,0,5,1,1
218,317,2025-02-20 11:50:20,2025-02-20 11:50:40,4,0,10,3,1
219,316,2025-02-20 11:50:26,2025-02-20 11:51:04,2,0,6,1,1
220,317,2025-02-20 11:50:40,2025-02-20 11:51:23,5,0,11,3,1
221,316,2025-02-20 11:51:04,2025-02-20 11:51:23,0,0,23,0,1
222,316,2025-02-20 11:51:23,2025-02-20 11:52:01,2,0,6,1,1
223,317,2025-02-20 11:51:23,2025-02-20 11:52:08,3,1,12,4,1
224,316,2025-02-20 11:52:01,2025-02-20 11:52:03,3,1,7,2,1
225,316,2025-02-20 11:52:03,2025-02-20 11:52:35,1,0,8,3,1
226,317,2025-02-20 11:52:08,2025-02-20 11:52:17,4,1,13,4,1
227,317,2025-02-20 11:52:17,2025-02-20 11:52:47,1,0,14,5,1
228,316,2025-02-20 11:52:35,2025-02-20 11:53:07,1,0,8,3,1
229,317,2025-02-20 11:52:47,2025-02-20 11:54:08,1,0,15,5,1
230,316,2025-02-20 11:53:07,2025-02-20 11:54:08,3,0,9,3,1
231,316,2025-02-20 11:54:08,2025-02-20 11:54:28,4,0,10,3,1
232,317,2025-02-20 11:54:08,2025-02-20 11:54:25,6,0,16,5,1
233,317,2025-02-20 11:54:25,2025-02-20 11:54:50,7,1,17,6,1
234,316,2025-02-20 11:54:28,2025-02-20 11:55:11,5,0,11,3,1
235,317,2025-02-20 11:54:50,2025-02-20 11:55:24,8,1,18,6,1
236,316,2025-02-20 11:55:11,2025-02-20 11:55:54,5,0,11,3,1
237,317,2025-02-20 11:55:24,2025-02-20 11:56:26,3,1,19,6,1
238,316,2025-02-20 11:55:54,2025-02-20 11:56:39,3,1,12,4,1
239,317,2025-02-20 11:56:26,2025-02-20 11:56:31,4,1,20,6,1
240,317,2025-02-20 11:56:31,2025-02-20 11:56:39,-1,-1,21,7,1
241,316,2025-02-20 11:56:39,2025-02-20 11:56:48,4,1,13,4,1
242,319,2025-02-20 11:56:39,2025-02-20 11:56:54,0,0,0,0,1
243,316,2025-02-20 11:56:48,2025-02-20 11:57:18,1,0,14,5,1
244,316,2025-02-20 11:57:18,2025-02-20 11:58:39,1,0,15,5,1
245,316,2025-02-20 11:58:39,2025-02-20 11:58:56,6,0,16,5,1
246,319,2025-02-20 11:58:56,2025-02-20 11:59:13,6,0,16,5,1
247,316,2025-02-20 11:59:13,2025-02-20 11:59:30,6,0,16,5,1
248,319,2025-02-20 11:59:13,2025-02-20 11:59:53,1,0,1,1,1
249,316,2025-02-20 11:59:30,2025-02-20 11:59:55,7,1,17,6,1
250,319,2025-02-20 11:59:53,2025-02-20 12:00:36,5,0,11,3,1
251,316,2025-02-20 11:59:55,2025-02-20 12:00:29,8,1,18,6,1
252,316,2025-02-20 12:00:29,2025-02-20 12:01:31,3,1,19,6,1
253,319,2025-02-20 12:00:36,2025-02-20 12:01:08,1,0,8,3,1
254,319,2025-02-20 12:01:08,2025-02-20 12:01:46,2,0,6,1,1
255,316,2025-02-20 12:01:31,2025-02-20 12:01:36,4,1,20,6,1
256,316,2025-02-20 12:01:36,2025-02-20 12:01:44,-1,-1,21,7,1
257,319,2025-02-20 12:01:46,2025-02-20 12:02:05,0,0,23,0,1
258,305,2025-02-20 12:02:05,2025-02-20 12:02:20,0,0,0,0,1
259,306,2025-02-20 12:02:20,2025-02-20 12:02:35,0,0,0,0,1
260,305,2025-02-20 12:02:20,2025-02-20 12:03:00,1,0,1,1,1
261,305,2025-02-20 12:03:00,2025-02-20 12:03:19,0,0,23,0,1
262,306,2025-02-20 12:03:01,2025-02-20 12:03:41,1,0,1,1,1
263,306,2025-02-20 12:03:41,2025-02-20 12:04:37,2,0,2,1,1
264,305,2025-02-20 12:04:37,2025-02-20 12:05:17,1,0,1,1,1
265,306,2025-02-20 12:05:18,2025-02-20 12:05:32,2,0,3,1,1
266,305,2025-02-20 12:05:32,2025-02-20 12:06:28,2,0,2,1,1
267,306,2025-02-20 12:06:28,2025-02-20 12:07:11,2,0,4,1,1
268,305,2025-02-20 12:07:11,2025-02-20 12:07:25,2,0,3,1,1
269,306,2025-02-20 12:07:25,2025-02-20 12:08:22,2,0,5,1,1
270,305,2025-02-20 12:08:22,2025-02-20 12:09:05,2,0,4,1,1
271,306,2025-02-20 12:09:05,2025-02-20 12:09:43,2,0,6,1,1
272,306,2025-02-20 12:09:43,2025-02-20 12:09:45,3,1,7,2,1
273,305,2025-02-20 12:09:44,2025-02-20 12:10:41,2,0,5,1,1
274,306,2025-02-20 12:09:45,2025-02-20 12:10:17,1,0,8,3,1
275,306,2025-02-20 12:10:17,2025-02-20 12:11:18,3,0,9,3,1
276,305,2025-02-20 12:10:41,2025-02-20 12:11:19,2,0,6,1,1
277,306,2025-02-20 12:11:18,2025-02-20 12:11:38,4,0,10,3,1
278,305,2025-02-20 12:11:19,2025-02-20 12:11:57,2,0,6,1,1
279,305,2025-02-20 12:11:57,2025-02-20 12:11:59,3,1,7,2,1
280,305,2025-02-20 12:11:59,2025-02-20 12:12:31,1,0,8,3,1
281,306,2025-02-20 12:12:31,2025-02-20 12:13:14,5,0,11,3,1
282,305,2025-02-20 12:13:14,2025-02-20 12:13:46,1,0,8,3,1
283,306,2025-02-20 12:13:14,2025-02-20 12:13:59,3,1,12,4,1
284,305,2025-02-20 12:13:46,2025-02-20 12:14:47,3,0,9,3,1
285,306,2025-02-20 12:13:59,2025-02-20 12:14:08,4,1,13,4,1
286,306,2025-02-20 12:14:08,2025-02-20 12:14:38,1,0,14,5,1
287,306,2025-02-20 12:14:38,2025-02-20 12:15:59,1,0,15,5,1
288,305,2025-02-20 12:14:47,2025-02-20 12:15:07,4,0,10,3,1
289,305,2025-02-20 12:15:07,2025-02-20 12:15:50,5,0,11,3,1
290,305,2025-02-20 12:15:50,2025-02-20 12:16:33,5,0,11,3,1
291,306,2025-02-20 12:15:59,2025-02-20 12:16:16,6,0,16,5,1
292,306,2025-02-20 12:16:16,2025-02-20 12:16:41,7,1,17,6,1
293,305,2025-02-20 12:16:33,2025-02-20 12:17:18,3,1,12,4,1
294,306,2025-02-20 12:16:41,2025-02-20 12:17:15,8,1,18,6,1
295,306,2025-02-20 12:17:15,2025-02-20 12:18:17,3,1,19,6,1
296,305,2025-02-20 12:17:18,2025-02-20 12:17:27,4,1,13,4,1
297,305,2025-02-20 12:17:27,2025-02-20 12:17:57,1,0,14,5,1
298,305,2025-02-20 12:17:57,2025-02-20 12:19:18,1,0,15,5,1
299,306,2025-02-20 12:18:17,2025-02-20 12:18:22,4,1,20,6,1
300,306,2025-02-20 12:18:22,2025-02-20 12:18:30,-1,-1,21,7,1
301,306,2025-02-20 12:18:30,2025-02-20 12:18:40,-1,2,22,8,1
302,306,2025-02-20 12:18:40,2025-02-20 12:18:59,0,0,23,0,1
303,314,2025-02-20 12:18:59,2025-02-20 12:19:14,0,0,0,0,1
304,314,2025-02-20 12:19:14,2025-02-20 12:19:54,1,0,1,1,1
305,305,2025-02-20 12:19:18,2025-02-20 12:19:35,6,0,16,5,1
306,305,2025-02-20 12:19:35,2025-02-20 12:19:52,6,0,16,5,1
307,305,2025-02-20 12:19:52,2025-02-20 12:20:17,7,1,17,6,1
308,314,2025-02-20 12:19:54,2025-02-20 12:20:50,2,0,2,1,1
309,305,2025-02-20 12:20:17,2025-02-20 12:20:51,8,1,18,6,1
310,314,2025-02-20 12:20:50,2025-02-20 12:21:04,2,0,3,1,1
311,305,2025-02-20 12:20:51,2025-02-20 12:21:53,3,1,19,6,1
312,314,2025-02-20 12:21:04,2025-02-20 12:21:47,2,0,4,1,1
313,314,2025-02-20 12:21:47,2025-02-20 12:22:44,2,0,5,1,1
314,305,2025-02-20 12:21:53,2025-02-20 12:21:58,4,1,20,6,1
315,305,2025-02-20 12:21:58,2025-02-20 12:22:06,-1,-1,21,7,1
316,315,2025-02-20 12:22:06,2025-02-20 12:22:21,0,0,0,0,1
317,315,2025-02-20 12:22:21,2025-02-20 12:22:30,4,1,13,4,1
318,315,2025-02-20 12:22:30,2025-02-20 12:23:02,1,0,8,3,1
